day,component,proportion
,S-3-hydroxyisobutyrate,0.04367032109036068
,acetic acid,0.05092283039084063
,creatine,0.007423975939761922
,dimethylamine,0.001297943962703119
,citric acid,0.02635817455379267
,glycine,-0.0
,formic acid,0.0046854758090767515
,alanine,0.038109211283575244
,lactic acid,0.02499116600069727
,myo-inositol,0.1290047333299064
,succinic acid,0.02246688389933976
,xanthineurea,0.005058185879789793
,uracil,0.017552162601325014
,allantoin,-0.0
,creatinine,0.038979168169894225
,indoxylsulfate,0.14084816783182638
,hippuric acid,0.06051439736086304
,3-hydroxyisovalerate,-0.0
,pseudouridine,0.01676838011898914
,N-acetyl-aspartic acid,0.07733849387031104
,trigonelline,0.07104927998161005
,trimethylamine,0.0024024002603153017
,trimethylamine-N-oxide,0.016066741097600534
,tartaric acid,-0.0
,purine,-0.0
,benzoic acid,0.0009338648288494453
,7-methylxanthine,-0.0
,1-methyluric acid,0.09321595459961429
,3-aminoisobutyrate,0.03801261761165576
,p-cresol sulfate,0.014592517657602343
1.0,S-3-hydroxyisobutyrate,0.039843663242340246
1.0,acetic acid,0.049300139506402996
1.0,creatine,0.006630955249916747
1.0,dimethylamine,0.0003112779361073598
1.0,citric acid,0.0054876729858229206
1.0,glycine,-0.0
1.0,formic acid,0.007098089575823995
1.0,alanine,0.04158515074294029
1.0,lactic acid,0.01636629072498076
1.0,myo-inositol,0.14722174614128739
1.0,succinic acid,0.022790796893455534
1.0,xanthineurea,0.006456071562965963
1.0,uracil,0.00992400020350059
1.0,allantoin,-0.0
1.0,creatinine,0.042933811426095
1.0,indoxylsulfate,0.13914763807945518
1.0,hippuric acid,0.07214092830483702
1.0,3-hydroxyisovalerate,-0.0
1.0,pseudouridine,0.017400794131058574
1.0,N-acetyl-aspartic acid,0.09020981116271422
1.0,trigonelline,0.07951265924969114
1.0,trimethylamine,0.002517617049231753
1.0,trimethylamine-N-oxide,0.016254220597417136
1.0,tartaric acid,-0.0
1.0,purine,-0.0
1.0,benzoic acid,0.0016444833293528854
1.0,7-methylxanthine,-0.0
1.0,1-methyluric acid,0.09483612441558245
1.0,3-aminoisobutyrate,0.017151599436422475
1.0,p-cresol sulfate,0.012226988386682007
10.0,S-3-hydroxyisobutyrate,0.03441065911645325
10.0,acetic acid,0.041364490696613194
10.0,creatine,0.006249050995740201
10.0,dimethylamine,0.0011601489787887488
10.0,citric acid,0.017319459161735665
10.0,glycine,-0.0
10.0,formic acid,0.005272393943859197
10.0,alanine,0.03438760473157657
10.0,lactic acid,0.013002259135359203
10.0,myo-inositol,0.13958610171395922
10.0,succinic acid,0.02508960073755661
10.0,xanthineurea,0.005512864036106785
10.0,uracil,0.015371962545742177
10.0,allantoin,-0.0
10.0,creatinine,0.04058754252868336
10.0,indoxylsulfate,0.1206709677675794
10.0,hippuric acid,0.11458855154209227
10.0,3-hydroxyisovalerate,-0.0
10.0,pseudouridine,0.016515337254878845
10.0,N-acetyl-aspartic acid,0.08462569997164734
10.0,trigonelline,0.08293595493801705
10.0,trimethylamine,0.0019530334477712527
10.0,trimethylamine-N-oxide,0.014025939613567663
10.0,tartaric acid,-0.0
10.0,purine,-0.0
10.0,benzoic acid,0.0003536594431962162
10.0,7-methylxanthine,-0.0
10.0,1-methyluric acid,0.11195863393550486
10.0,3-aminoisobutyrate,0.02181491323636373
10.0,p-cresol sulfate,0.019605883630963775
20.0,S-3-hydroxyisobutyrate,0.043807780085503525
20.0,acetic acid,0.042940590663276296
20.0,creatine,0.021831035423823274
20.0,dimethylamine,-0.0
20.0,citric acid,0.025207821097142983
20.0,glycine,-0.0
